# Frequency	Amplitude
8.140669089300810128e+02	4.128569510843380354e+06
8.456005395513010399e+02	4.001461423710331786e+06
8.783556543641110466e+02	3.876703854748605751e+06
9.123795686823840470e+02	3.754400020640840288e+06
9.477214306221969764e+02	3.634638123586228583e+06
9.844322920971250142e+02	3.517491969784178305e+06
1.022565182563570033e+03	3.403021672354273964e+06
1.062175185622729941e+03	3.291274418276329990e+06
1.103319518589750032e+03	3.182285280533855781e+06
1.146057615145130057e+03	3.076078058547517285e+06
1.190451211187649960e+03	2.972666131868186407e+06
1.236564434012919946e+03	2.872053314209265169e+06
1.284463894946359915e+03	2.774234696732969955e+06
1.334218785564339896e+03	2.679197471463426948e+06
1.385900977642600083e+03	2.586921727418961469e+06
1.439585126976229958e+03	2.497381213653810322e+06
1.495348781221219951e+03	2.410544064870740753e+06
1.553272491913370004e+03	2.326373486517763697e+06
1.613439930826320051e+03	2.244828397408569232e+06
1.675938010836810008e+03	2.165864028850364499e+06
1.740857011471839996e+03	2.089432480064202799e+06
1.808290709318939889e+03	2.015483230330984807e+06
1.878336513488020046e+03	1.943963608838960063e+06
1.951095606320480101e+03	1.874819223609238397e+06
2.026673089548799908e+03	1.807994351212107576e+06
2.105178136117760005e+03	1.743432289188428316e+06
2.186724147886559876e+03	1.681075673278057715e+06
2.271428919439780202e+03	1.620866761624683393e+06
2.359414808243569951e+03	1.562747688188940519e+06
2.450808911393120070e+03	1.506660687589843757e+06
2.545743249206499968e+03	1.452548293572772527e+06
2.644354955930270080e+03	1.400353513237317326e+06
2.746786477832190030e+03	1.350019979089436121e+06
2.853185778967229908e+03	1.301492080883601448e+06
2.963706554914149820e+03	1.254715079126681434e+06
3.078508454791369786e+03	1.209635202007137937e+06
3.197757311872770060e+03	1.166199727402676363e+06
3.321625383136629807e+03	1.124357051513961283e+06
3.450291598093770062e+03	1.084056745561339892e+06
3.583941817254230045e+03	1.045249601879794849e+06
3.722769100605879885e+03	1.007887670646887505e+06
3.866973986492830136e+03	9.719242883845404722e+05
4.016764781296410092e+03	9.373140992872533388e+05
4.172357860337289821e+03	9.040130703474696493e+05
4.333977980433240191e+03	8.719785011755326996e+05
4.501858604564129564e+03	8.411690293420623057e+05
4.676242239113110372e+03	8.115446320129776141e+05
4.857380784171199593e+03	7.830666245923539391e+05
5.045535897411189580e+03	7.556976570460248040e+05
5.240979372056510329e+03	7.294017085399272619e+05
5.443993529491160189e+03	7.041440810009033885e+05
5.654871627077630365e+03	6.798913921858592657e+05
5.873918281772200316e+03	6.566115688367793337e+05
6.101449910149130119e+03	6.342738404977250611e+05
6.337795185469800344e+03	6.128487345811412670e+05
6.583295512456689721e+03	5.923080732943067560e+05
6.838305520458349747e+03	5.726249730743785622e+05
7.103193575717329622e+03	5.537738472344742622e+05
7.378342313481500241e+03	5.357304125971712638e+05
7.664149190727060159e+03	5.184717009887768654e+05
7.961027060291769885e+03	5.019760765931443311e+05
8.269404767247970085e+03	4.862232603236198775e+05
8.589727768376309541e+03	4.711943625751067302e+05
8.922458775635670463e+03	4.568719259746719035e+05
9.268078424558299957e+03	4.432399800737117184e+05
9.627085968536019209e+03	4.302841103357565007e+05
1.000000000000000000e+04	4.179915442949303542e+05
