# Frequency	Amplitude
2.412655434134780137e+02	4.866484663583719172e+06
2.506111861907129992e+02	4.847906154660821892e+06
2.603188410384819917e+02	4.828080027137380093e+06
2.704025308273730275e+02	4.806943066145795397e+06
2.808768216167620153e+02	4.784431241259920411e+06
2.917568436957409972e+02	4.760480097056535073e+06
3.030583134390649889e+02	4.735025199968755245e+06
3.147975560097240191e+02	4.708002642822845839e+06
3.269915289409179877e+02	4.679349607326498255e+06
3.396578466314899742e+02	4.649004983863082714e+06
3.528148057902320147e+02	4.616910046072817408e+06
3.664814118657799895e+02	4.583009176051820628e+06
3.806774065003090186e+02	4.547250634344032966e+06
3.954232960466620170e+02	4.509587366309183650e+06
4.107403811901290283e+02	4.469977834874552675e+06
4.266507877176359784e+02	4.428386866965048015e+06
4.431774984788219740e+02	4.384786499160674401e+06
4.603443865851500050e+02	4.339156805964018218e+06
4.781762498950189979e+02	4.291486692578848451e+06
4.966988468346820014e+02	4.241774632597186603e+06
5.159389336067340537e+02	4.190029330580587965e+06
5.359243028398890374e+02	4.136270289283492602e+06
5.566838237359030472e+02	4.080528261841316707e+06
5.782474837716209777e+02	4.022845570901242550e+06
6.006464320163900084e+02	3.963276278697726317e+06
6.239130241274140189e+02	3.901886195274588186e+06
6.480808690880450058e+02	3.838752715710106771e+06
6.731848777565229511e+02	3.773964481656510383e+06
6.992613132952980095e+02	3.707620867166157812e+06
7.263478435537799669e+02	3.639831293973856140e+06
7.544835954801750404e+02	3.570714386298294179e+06
7.837092116410269682e+02	3.500396980169735849e+06
8.140669089300810128e+02	3.429013006543546449e+06
8.456005395513010399e+02	3.356702271227909252e+06
8.783556543641110466e+02	3.283609157398661133e+06
9.123795686823840470e+02	3.209881278459298890e+06
9.477214306221969764e+02	3.135668109682808165e+06
9.844322920971250142e+02	3.061119626948328689e+06
1.022565182563570033e+03	2.986384979578542057e+06
1.062175185622729941e+03	2.911611222188318614e+06
1.103319518589750032e+03	2.836942127569748554e+06
1.146057615145130057e+03	2.762517099128331523e+06
1.190451211187649960e+03	2.688470197634535842e+06
1.236564434012919946e+03	2.614929292932841927e+06
1.284463894946359915e+03	2.542015347315386869e+06
1.334218785564339896e+03	2.469841833341799211e+06
1.385900977642600083e+03	2.398514285397759639e+06
1.439585126976229958e+03	2.328129981102825608e+06
1.495348781221219951e+03	2.258777746048912872e+06
1.553272491913370004e+03	2.190537873216193169e+06
1.613439930826320051e+03	2.123482146788893268e+06
1.675938010836810008e+03	2.057673959035900887e+06
1.740857011471839996e+03	1.993168508268485777e+06
1.808290709318939889e+03	1.930013065715313656e+06
1.878336513488020046e+03	1.868247299318225356e+06
1.951095606320480101e+03	1.807903642908387585e+06
2.026673089548799908e+03	1.749007699925971217e+06
2.105178136117760005e+03	1.691578671703765867e+06
2.186724147886559876e+03	1.635629801309394417e+06
2.271428919439780202e+03	1.581168824980499689e+06
2.359414808243569951e+03	1.528198424231857061e+06
2.450808911393120070e+03	1.476716672755790874e+06
2.545743249206499968e+03	1.426717473233796889e+06
2.644354955930270080e+03	1.378190980097373715e+06
2.746786477832190030e+03	1.331124005145283183e+06
2.853185778967229908e+03	1.285500403682476841e+06
2.963706554914149820e+03	1.241301439535475336e+06
3.078508454791369786e+03	1.198506127892290941e+06
3.197757311872770060e+03	1.157091555422672071e+06
3.321625383136629807e+03	1.117033177567073610e+06
3.450291598093770062e+03	1.078305093234204222e+06
3.583941817254230045e+03	1.040880297438764712e+06
3.722769100605879885e+03	1.004730912635916029e+06
3.866973986492830136e+03	9.698283996869203402e+05
4.016764781296410092e+03	9.361437495192397619e+05
4.172357860337289821e+03	9.036476566378962016e+05
4.333977980433240191e+03	8.723106757039774675e+05
4.501858604564129564e+03	8.421033624317058129e+05
4.676242239113110372e+03	8.129964000689028762e+05
4.857380784171199593e+03	7.849607127229829784e+05
5.045535897411189580e+03	7.579675667828567093e+05
5.240979372056510329e+03	7.319886616644029273e+05
5.443993529491160189e+03	7.069962110831737518e+05
5.654871627077630365e+03	6.829630160310454667e+05
5.873918281772200316e+03	6.598625306095215492e+05
6.101449910149130119e+03	6.376689218516146066e+05
6.337795185469800344e+03	6.163571246519708075e+05
6.583295512456689721e+03	5.959028929209656781e+05
6.838305520458349747e+03	5.762828480883334996e+05
7.103193575717329622e+03	5.574745261061856290e+05
7.378342313481500241e+03	5.394564241462933132e+05
7.664149190727060159e+03	5.222080482538593933e+05
7.961027060291769885e+03	5.057099633177576470e+05
8.269404767247970085e+03	4.899438468494545668e+05
8.589727768376309541e+03	4.748925482404022478e+05
8.922458775635670463e+03	4.605401553995021968e+05
9.268078424558299957e+03	4.468720709742356557e+05
9.627085968536019209e+03	4.338751007478735992e+05
1.000000000000000000e+04	4.215375573068787926e+05
